Tiepoint_ID ,height,time_1,pos_inert_zeroh_1_x,pos_inert_zeroh_1_y,pos_inert_zeroh_1_z,lat_zeroh_1,wlon_zeroh_1,time_2,pos_inert_zeroh_2_x,pos_inert_zeroh_2_y,pos_inert_zeroh_2_z,lat_zeroh_2,wlon_zeroh_2,residual_dist_zeroh
        t8s01t41s02_usgs2_10,  0.046, 183743989.420,    -592.76,   -2491.50,    -267.77,-11.1727,-167.5940, 256974153.452,    1678.16,   -1886.13,    -506.87,-11.0179,-167.6539,      7.443
        t8s01t36s04_usgs2_12, -0.437, 183743984.899,    -459.39,   -2530.94,    -118.10, -7.6183,-170.4704, 244573378.302,    1748.54,   -1850.41,    -386.28, -8.1178,-169.4362,     51.218
       t13s03t36s04_usgs2_41, -0.454, 199705093.454,    -944.23,    2355.93,    -434.34, -7.6731,-170.4875, 244573378.573,    1749.41,   -1849.32,    -387.56, -8.1428,-169.4703,     49.958
       t13s03t36s04_usgs2_42, -0.444, 199705094.415,    -921.17,    2368.96,    -412.44, -7.1182,-169.9569, 244573376.947,    1734.03,   -1868.77,    -362.54, -7.6465,-168.8582,     54.420
       t36s04t39s03_usgs2_73,  0.000, 244573349.457,    1558.49,   -2035.63,     240.75,  5.1049,-161.9387, 251464755.565,    1592.38,   -2009.68,     236.97,  5.1308,-162.1267,      8.494
      t36s01t36s02_usgs2_131,  0.000, 244570973.306,   -1482.15,    1933.74,    -833.37,-18.5343,  19.0283, 244570973.306,   -1482.77,    1933.58,    -832.63,-18.5186,  19.0123,      0.984
      t36s01t36s02_usgs2_132,  0.000, 244570981.450,   -1524.75,    1840.84,    -957.64,-21.7088,  17.2663, 244570981.450,   -1525.10,    1840.81,    -957.15,-21.6979,  17.2578,      0.603
      t36s01t36s02_usgs2_133,  0.000, 244571070.975,   -1336.95,    1931.61,   -1054.55,-23.4713,  22.4960, 244571070.975,   -1335.16,    1933.33,   -1053.67,-23.4432,  22.5520,      2.633
      t36s01t36s02_usgs2_134, -0.215, 244571415.194,    -990.32,    1897.61,   -1431.42,-32.1927,  30.9697, 244571179.830,    -989.51,    1898.39,   -1430.94,-32.1769,  30.9343,      1.523
      t36s01t36s02_usgs2_135,  0.000, 244571243.318,    -846.50,    1612.26,   -1820.63,-43.3169,  32.8122, 244571243.318,    -846.82,    1612.47,   -1820.29,-43.3070,  32.8043,      0.514
      t36s01t36s02_usgs2_136,  0.000, 244571257.992,    -802.45,    1584.01,   -1864.84,-44.6180,  33.9200, 244571947.315,    -808.73,    1582.13,   -1863.72,-44.6048,  33.8931,      1.044
      t36s01t36s02_usgs2_137, -0.045, 244571374.275,    -745.17,    1731.80,   -1753.91,-40.8027,  36.6684, 244571374.275,    -745.50,    1731.92,   -1753.65,-40.7957,  36.6594,      0.443
      t36s01t36s02_usgs2_138,  0.000, 244571386.099,    -869.69,    1616.59,   -1805.79,-42.9204,  32.1962, 244571386.099,    -870.71,    1616.57,   -1805.32,-42.9090,  32.1658,      1.125
      t36s01t36s02_usgs2_139,  0.000, 244571097.747,   -1298.72,    1938.60,   -1088.93,-24.2077,  23.4751, 244571097.747,   -1298.32,    1938.72,   -1089.20,-24.2133,  23.4858,      0.506
